"course_id","category_id","category_name"
"983","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"984","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"985","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"987","129","Club House"
"988","130","Cohorte 1 2024"
"989","130","Cohorte 1 2024"
"990","130","Cohorte 1 2024"
"991","130","Cohorte 1 2024"
"992","130","Cohorte 1 2024"
"993","130","Cohorte 1 2024"
"994","130","Cohorte 1 2024"
"995","130","Cohorte 1 2024"
"996","129","Club House"
"997","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"998","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"999","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1000","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1001","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1004","4","Academia de Desarrolladores de Software"
"1005","4","Academia de Desarrolladores de Software"
"1006","4","Academia de Desarrolladores de Software"
"1007","4","Academia de Desarrolladores de Software"
"1008","135","Cohorte 2 2024"
"1009","135","Cohorte 2 2024"
"1010","135","Cohorte 2 2024"
"1011","135","Cohorte 2 2024"
"1012","135","Cohorte 2 2024"
"1013","135","Cohorte 2 2024"
"1014","135","Cohorte 2 2024"
"1015","135","Cohorte 2 2024"
"1025","104","Inglés"
"1026","104","Inglés"
"1027","104","Inglés"
"1033","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1034","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1035","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1036","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1037","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1051","129","Club House"
"1053","138","convocatoria 1"
"1054","138","convocatoria 1"
"1065","140","Tecnología"
"1066","140","Tecnología"
"1067","140","Tecnología"
"1068","140","Tecnología"
"1070","126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual"
"1071","126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual"
"1072","126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual"
"1073","126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual"
"1074","125","Capacitación para el Desarrollo de Habilidades de Emprendimiento Juvenil"
"1075","125","Capacitación para el Desarrollo de Habilidades de Emprendimiento Juvenil"
"1076","125","Capacitación para el Desarrollo de Habilidades de Emprendimiento Juvenil"
"1077","125","Capacitación para el Desarrollo de Habilidades de Emprendimiento Juvenil"
"1078","125","Capacitación para el Desarrollo de Habilidades de Emprendimiento Juvenil"
"1079","125","Capacitación para el Desarrollo de Habilidades de Emprendimiento Juvenil"
"1080","125","Capacitación para el Desarrollo de Habilidades de Emprendimiento Juvenil"
"1085","3","Cursos Vocacionales"
"1086","3","Cursos Vocacionales"
"1092","5","Administración "
"1095","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1096","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1097","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1098","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1099","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1100","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1101","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1103","144","Convocatoria 1 2024"
"1104","144","Convocatoria 1 2024"
"1105","144","Convocatoria 1 2024"
"1106","144","Convocatoria 1 2024"
"1107","144","Convocatoria 1 2024"
"1108","144","Convocatoria 1 2024"
"1109","144","Convocatoria 1 2024"
"1110","144","Convocatoria 1 2024"
"1111","144","Convocatoria 1 2024"
"1112","144","Convocatoria 1 2024"
"1113","144","Convocatoria 1 2024"
"1115","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1116","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1117","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1118","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1119","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"1120","144","Convocatoria 1 2024"
"1121","144","Convocatoria 1 2024"
"1122","144","Convocatoria 1 2024"
"1123","144","Convocatoria 1 2024"
"1124","144","Convocatoria 1 2024"
"1125","144","Convocatoria 1 2024"
"1126","144","Convocatoria 1 2024"
"1130","145","Cohorte 3 2024"
"1131","145","Cohorte 3 2024"
"1132","145","Cohorte 3 2024"
"1133","145","Cohorte 3 2024"
"1134","145","Cohorte 3 2024"
"1135","145","Cohorte 3 2024"
"1136","145","Cohorte 3 2024"
"1137","145","Cohorte 3 2024"
"1139","126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual"
"1143","103","Habilidades"
"1145","148","Paso Seguro"
"1152","126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual"
"1157","153","Convocatoria 2 2024"
"1158","153","Convocatoria 2 2024"
"1159","153","Convocatoria 2 2024"
"1160","153","Convocatoria 2 2024"
"1161","138","convocatoria 1"
"1163","131","Ensamblaje de Computador"
"1165","8","Madres Cuidadoras"
"1166","138","convocatoria 1"
"1167","138","convocatoria 1"
"1169","126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual"
"1170","156","Habilidades de Emprendimiento  Modalidad Autodirigido"
"1171","156","Habilidades de Emprendimiento  Modalidad Autodirigido"
"1172","156","Habilidades de Emprendimiento  Modalidad Autodirigido"
"1173","156","Habilidades de Emprendimiento  Modalidad Autodirigido"
"1174","156","Habilidades de Emprendimiento  Modalidad Autodirigido"
"1175","156","Habilidades de Emprendimiento  Modalidad Autodirigido"
"1176","126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual"
"1177","126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual"
"1178","158","Orientación Vocacional para el éxito Profesional"
"1179","158","Orientación Vocacional para el éxito Profesional"
"1180","158","Orientación Vocacional para el éxito Profesional"
"1181","158","Orientación Vocacional para el éxito Profesional"
"1182","158","Orientación Vocacional para el éxito Profesional"
"1183","158","Orientación Vocacional para el éxito Profesional"
"1184","158","Orientación Vocacional para el éxito Profesional"
"1185","160","Formación Integral para la inserción Laboral"
"1186","159","Formación en TICS para Mujeres"
"1187","159","Formación en TICS para Mujeres"
"1188","159","Formación en TICS para Mujeres"
"1189","159","Formación en TICS para Mujeres"
"1190","159","Formación en TICS para Mujeres"
"1191","159","Formación en TICS para Mujeres"
"1192","159","Formación en TICS para Mujeres"
"1193","160","Formación Integral para la inserción Laboral"
"1194","160","Formación Integral para la inserción Laboral"
"1195","160","Formación Integral para la inserción Laboral"
"1196","160","Formación Integral para la inserción Laboral"
"1197","160","Formación Integral para la inserción Laboral"
"1198","161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1199","161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1200","161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1201","161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1202","161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1203","161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1204","161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1205","161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1207","162","Ensamblaje-Voluntariado"
"1208","162","Ensamblaje-Voluntariado"
"1209","161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1210","165","Orientación Vocacional para el éxito Profesional Cohorte 1"
"1211","165","Orientación Vocacional para el éxito Profesional Cohorte 1"
"1212","165","Orientación Vocacional para el éxito Profesional Cohorte 1"
"1213","165","Orientación Vocacional para el éxito Profesional Cohorte 1"
"1214","165","Orientación Vocacional para el éxito Profesional Cohorte 1"
"1215","165","Orientación Vocacional para el éxito Profesional Cohorte 1"
"1216","165","Orientación Vocacional para el éxito Profesional Cohorte 1"
"1217","166","Formación en TICS para Mujeres Cohorte 1"
"1218","166","Formación en TICS para Mujeres Cohorte 1"
"1219","166","Formación en TICS para Mujeres Cohorte 1"
"1221","166","Formación en TICS para Mujeres Cohorte 1"
"1222","166","Formación en TICS para Mujeres Cohorte 1"
"1223","166","Formación en TICS para Mujeres Cohorte 1"
"1224","167","Formación Integral para la inserción Laboral Cohorte 1"
"1225","167","Formación Integral para la inserción Laboral Cohorte 1"
"1226","167","Formación Integral para la inserción Laboral Cohorte 1"
"1227","167","Formación Integral para la inserción Laboral Cohorte 1"
"1228","167","Formación Integral para la inserción Laboral Cohorte 1"
"1229","167","Formación Integral para la inserción Laboral Cohorte 1"
"1230","168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1231","168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1232","168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1233","168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1234","168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1235","168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1236","168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1237","168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1238","168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica"
"1239","169","Formación Integral para la Inserción Laboral Cohorte 2"
"1240","169","Formación Integral para la Inserción Laboral Cohorte 2"
"1241","169","Formación Integral para la Inserción Laboral Cohorte 2"
"1242","169","Formación Integral para la Inserción Laboral Cohorte 2"
"1243","169","Formación Integral para la Inserción Laboral Cohorte 2"
